Volcano Number,Volcano Name,Eruption Number,Eruption Category,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,,,,,,,,
257030,Ambae,22420,Confirmed Eruption,2021,12,5,2021,12,9,-15.389,167.835,,,,,,,,
273083,Pinatubo,22423,Confirmed Eruption,2021,11,30,2021,11,30,15.13,120.35,,,,,,,,
264250,Iliwerung,22421,Confirmed Eruption,2021,11,28,2021,11,29,-8.532,123.573,,,,,,,,
273070,Taal,22427,Confirmed Eruption,2021,11,15,2021,11,22,14.002,120.993,,,,,,,,
345070,Turrialba,22425,Confirmed Eruption,2021,11,3,2021,11,23,10.025,-83.767,,,,,,,,
282110,Asosan,22424,Confirmed Eruption,2021,10,14,2021,10,20,32.884,131.104,,,,,,,,
255060,Kavachi,22419,Confirmed Eruption,2021,10,2,2021,11,26,-8.991,157.979,,,,,,,,
332010,Kilauea,22416,Confirmed Eruption,2021,9,29,2021,12,9,19.421,-155.287,,,,,,,,
383010,La Palma,22417,Confirmed Eruption,2021,9,19,2021,12,9,28.57,-17.83,,,,,,,,
284096,Nishinoshima,22407,Confirmed Eruption,2021,8,14,2021,8,15,27.247,140.874,,,,,,,,
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,2021,8,13,2021,9,12,24.285,141.481,,,,,,,,
290260,Chirinkotan,22410,Confirmed Eruption,2021,8,8,2021,8,24,48.98,153.48,,,,,,,,
312030,Pavlof,22411,Confirmed Eruption,2021,8,5,2021,12,9,55.417,-161.894,,,,,,,,
284170,Pagan,22409,Confirmed Eruption,2021,7,29,2021,9,6,18.13,145.8,,,,,,,,
264270,Sirung,22405,Confirmed Eruption,2021,7,21,2021,7,21,-8.508,124.13,,,,,,,,
252120,Ulawun,22414,Confirmed Eruption,2021,7,9,2021,12,9,-5.05,151.33,,,,,,,,
357090,Copahue,22413,Confirmed Eruption,2021,7,2,2021,11,6,-37.856,-71.183,,,,,,,,
273070,Taal,22406,Confirmed Eruption,2021,7,1,2021,7,9,14.002,120.993,,,,,,,,
345020,Rincon de la Vieja,22412,Confirmed Eruption,2021,6,28,2021,10,13,10.83,-85.324,,,,,,,,
345070,Turrialba,22403,Confirmed Eruption,2021,6,13,2021,7,23,10.025,-83.767,,,,,,,,
262000,Krakatau,22426,Confirmed Eruption,2021,5,25,2021,12,9,-6.102,105.423,,,,,,,,
311120,Great Sitkin,22401,Confirmed Eruption,2021,5,25,2021,12,9,52.076,-176.13,,,,,,,,
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,2021,4,29,2021,4,29,-7.2,109.879,,,,,,,,
344040,Telica,22402,Confirmed Eruption,2021,4,21,2021,12,9,12.606,-86.84,,,,,,,,
263310,Tengger Caldera,22404,Confirmed Eruption,2021,4,15,2021,10,14,-7.942,112.95,,,,,,,,
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,2021,4,9,2021,5,24,-21.244,55.708,,,,,,,,
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,2021,3,19,2021,9,18,63.917,-22.067,,,,,,,,
312070,Veniaminof,22393,Confirmed Eruption,2021,2,28,2021,4,5,56.17,-159.38,,,,,,,,
311060,Semisopochnoi,22392,Confirmed Eruption,2021,2,2,2021,12,9,51.93,179.58,,,,,,,,
263340,Raung,22383,Confirmed Eruption,2021,1,21,2021,4,14,-8.119,114.056,,,,,,,,
263250,Merapi,22381,Confirmed Eruption,2020,12,31,2021,12,9,-7.54,110.446,,,,,,,,
360150,Soufriere St. Vincent,22385,Confirmed Eruption,2020,12,27,2021,4,22,13.33,-61.18,,,,,,,,
344020,San Cristobal,22394,Confirmed Eruption,2020,12,27,2021,11,22,12.702,-87.004,,,,,,,,
263310,Tengger Caldera,22382,Confirmed Eruption,2020,12,26,2020,12,28,-7.942,112.95,,,,,,,,
332010,Kilauea,22380,Confirmed Eruption,2020,12,20,2021,5,23,19.421,-155.287,,,,,,,,
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,2020,12,7,2020,12,8,-21.244,55.708,,,,,,,,
264230,Lewotolok,22373,Confirmed Eruption,2020,11,27,2021,12,9,-8.274,123.508,,,,,,,,
282060,Kikai,22374,Confirmed Eruption,2020,10,6,2020,10,6,30.793,130.305,,,,,,,,
255060,Kavachi,22364,Confirmed Eruption,2020,9,2,2021,4,10,-8.991,157.979,,,,,,,,
282050,Kuchinoerabujima,22391,Confirmed Eruption,2020,8,29,2020,8,29,30.443,130.217,,,,,,,,
261080,Sinabung,22365,Confirmed Eruption,2020,8,8,2021,9,23,3.17,98.392,,,,,,,,
344040,Telica,22368,Confirmed Eruption,2020,7,20,2020,12,9,12.606,-86.84,,,,,,,,
263340,Raung,22367,Confirmed Eruption,2020,7,16,2020,10,3,-8.119,114.056,,,,,,,,
345070,Turrialba,22369,Confirmed Eruption,2020,6,18,2020,8,24,10.025,-83.767,,,,,,,,
357090,Copahue,22376,Confirmed Eruption,2020,6,16,2020,10,19,-37.856,-71.183,,,,,,,,
311240,Cleveland,22361,Confirmed Eruption,2020,6,1,2020,6,1,52.825,-169.944,,,,,,,,
282060,Kikai,22359,Confirmed Eruption,2020,4,29,2020,4,29,30.793,130.305,,,,,,,,
300130,Karymsky,22360,Confirmed Eruption,2020,4,1,2021,12,9,54.049,159.443,,,,,,,,
266030,Soputan,22354,Confirmed Eruption,2020,3,23,2020,4,2,1.112,124.737,,,,,,,,
255060,Kavachi,22357,Confirmed Eruption,2020,3,16,2020,4,30,-8.991,157.979,,,,,,,,
290240,Sarychev Peak,22384,Confirmed Eruption,2020,2,29,2021,11,26,48.092,153.2,,,,,,,,
343100,San Miguel,22355,Confirmed Eruption,2020,2,22,2020,2,22,13.434,-88.269,,,,,,,,
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,2020,2,10,2020,4,6,-21.244,55.708,,,,,,,,
345020,Rincon de la Vieja,22346,Confirmed Eruption,2020,1,30,2020,12,13,10.83,-85.324,,,,,,,,
353010,Fernandina,22347,Confirmed Eruption,2020,1,12,2020,1,13,-0.37,-91.55,,,,,,,,
273070,Taal,22344,Confirmed Eruption,2020,1,12,2020,1,22,14.002,120.993,,,,,,,,
